license plate,brand,model,color,model year
AA113BD,Volkswagen,Golf,blue,2006
AA126CG,Toyota,Yaris,white,2007
AA139DJ,Ford,Focus,black,2008
AA152EM,Renault,Clio,grey,2009
AA165FP,Peugeot,208,silver,2010
AA178GT,Opel,Corsa,green,2011
AA191HW,BMW,Serie 1,yellow,2012
AA204IZ,Mercedes,Classe A,orange,2013
AA217JC,Audi,A1,brown,2014
AA230KF,Honda,Civic,beige,2015
AA243LI,Hyundai,i10,purple,2016
AA256ML,Kia,Picanto,red,2017
AA269NO,Nissan,Micra,blue,2018
AA282OS,Seat,Ibiza,white,2019
AA295PV,Skoda,Fabia,black,2020
AA308RY,Volvo,V40,grey,2021
AA321SB,Mazda,2,silver,2022
AA334TE,Suzuki,Swift,green,2023
AA347UH,Citroen,C3,yellow,2024
AA360VK,Dacia,Sandero,orange,2005
AA373WN,Alfa Romeo,Giulietta,brown,2006
AA386XR,Lancia,Ypsilon,beige,2007
AA399YU,Jeep,Renegade,purple,2008
AA412ZX,Mini,Cooper,red,2009
AA425AA,Subaru,Impreza,blue,2010
AB438BD,Mitsubishi,Colt,white,2011
AB451CG,Tesla,Model 3,black,2012
AB464DJ,Fiat,500,grey,2013
AB477EM,Volkswagen,Polo,silver,2014
AB490FP,Toyota,Corolla,green,2015
AB503GT,Ford,Fiesta,yellow,2016
AB516HW,Renault,Megane,orange,2017
AB529IZ,Peugeot,308,brown,2018
AB542JC,Opel,Astra,beige,2019
AB555KF,BMW,Serie 3,purple,2020
AB568LI,Mercedes,Classe B,red,2021
AB581ML,Audi,A3,blue,2022
AB594NO,Honda,Jazz,white,2023
AB607OS,Hyundai,i20,black,2024
AB620PV,Kia,Stonic,grey,2005
AB633RY,Nissan,Juke,silver,2006
AB646SB,Seat,Arona,green,2007
AB659TE,Skoda,Scala,yellow,2008
AB672UH,Volvo,XC40,orange,2009
AB685VK,Mazda,3,brown,2010
AB698WN,Suzuki,Vitara,beige,2011
AB711XR,Citroen,C4,purple,2012
AB724YU,Dacia,Duster,red,2013
AB737ZX,Alfa Romeo,Giulia,blue,2014
AB750AA,Lancia,Ypsilon,white,2015
AB763BD,Jeep,Compass,black,2016
AC776CG,Mini,Countryman,grey,2017
AC789DJ,Subaru,Forester,silver,2018
AC802EM,Mitsubishi,ASX,green,2019
AC815FP,Tesla,Model Y,yellow,2020
AC828GT,Fiat,Panda,orange,2021
AC841HW,Volkswagen,Passat,brown,2022
AC854IZ,Toyota,Auris,beige,2023
AC867JC,Ford,Kuga,purple,2024
AC880KF,Renault,Captur,red,2005
AC893LI,Peugeot,2008,blue,2006
AC906ML,Opel,Mokka,white,2007
AC919NO,BMW,Serie 5,black,2008
AC932OS,Mercedes,Classe C,grey,2009
AC945PV,Audi,A4,silver,2010
AC958RY,Honda,HR-V,green,2011
AC971SB,Hyundai,i30,yellow,2012
AC984TE,Kia,Ceed,orange,2013
AC997UH,Nissan,Qashqai,brown,2014
AC110VK,Seat,Leon,beige,2015
AC123WN,Skoda,Octavia,purple,2016
AC136XR,Volvo,V60,red,2017
AC149YU,Mazda,CX-3,blue,2018
AC162ZX,Suzuki,Ignis,white,2019
AC175AA,Citroen,C5 Aircross,black,2020
AC188BD,Dacia,Logan,grey,2021
AC201CG,Alfa Romeo,Stelvio,silver,2022
AD214DJ,Lancia,Ypsilon,green,2023
AD227EM,Jeep,Cherokee,yellow,2024
AD240FP,Mini,Clubman,orange,2005
AD253GT,Subaru,Outback,brown,2006
AD266HW,Mitsubishi,Eclipse Cross,beige,2007
AD279IZ,Tesla,Model S,purple,2008
AD292JC,Fiat,Tipo,red,2009
AD305KF,Volkswagen,Tiguan,blue,2010
AD318LI,Toyota,RAV4,white,2011
AD331ML,Ford,Puma,black,2012
AD344NO,Renault,Kadjar,grey,2013
AD357OS,Peugeot,3008,silver,2014
AD370PV,Opel,Crossland,green,2015
AD383RY,BMW,X1,yellow,2016
AD396SB,Mercedes,GLA,orange,2017
AD409TE,Audi,Q3,brown,2018
AD422UH,Honda,CR-V,beige,2019
AD435VK,Hyundai,Tucson,purple,2020
AD448WN,Kia,Sportage,red,2021
AD461XR,Nissan,Leaf,blue,2022
AD474YU,Seat,Ateca,white,2023
AD487ZX,Skoda,Karoq,black,2024
AD500AA,Volvo,XC60,grey,2005
AD513BD,Mazda,CX-5,silver,2006
AD526CG,Suzuki,Baleno,green,2007
AD539DJ,Citroen,Berlingo,yellow,2008
AE552EM,Dacia,Spring,orange,2009
AE565FP,Alfa Romeo,Tonale,brown,2010
AE578GT,Lancia,Ypsilon,beige,2011
AE591HW,Jeep,Wrangler,purple,2012
AE604IZ,Mini,Paceman,red,2013
AE617JC,Subaru,XV,blue,2014
AE630KF,Mitsubishi,Outlander,white,2015
AE643LI,Tesla,Model X,black,2016
AE656ML,Fiat,Punto,grey,2017
AE669NO,Volkswagen,Golf,silver,2018
AE682OS,Toyota,Yaris,green,2019
AE695PV,Ford,Focus,yellow,2020
AE708RY,Renault,Clio,orange,2021
AE721SB,Peugeot,208,brown,2022
AE734TE,Opel,Corsa,beige,2023
AE747UH,BMW,Serie 1,purple,2024
AE760VK,Mercedes,Classe A,red,2005
AE773WN,Audi,A1,blue,2006
AE786XR,Honda,Civic,white,2007
AE799YU,Hyundai,i10,black,2008
AE812ZX,Kia,Picanto,grey,2009
AE825AA,Nissan,Micra,silver,2010
AE838BD,Seat,Ibiza,green,2011
AE851CG,Skoda,Fabia,yellow,2012
AE864DJ,Volvo,V40,orange,2013
AE877EM,Mazda,2,brown,2014
AF890FP,Suzuki,Swift,beige,2015
AF903GT,Citroen,C3,purple,2016
AF916HW,Dacia,Sandero,red,2017
AF929IZ,Alfa Romeo,Giulietta,blue,2018
AF942JC,Lancia,Ypsilon,white,2019
AF955KF,Jeep,Renegade,black,2020
AF968LI,Mini,Cooper,grey,2021
AF981ML,Subaru,Impreza,silver,2022
AF994NO,Mitsubishi,Colt,green,2023
AF107OS,Tesla,Model 3,yellow,2024
AF120PV,Fiat,500,orange,2005
AF133RY,Volkswagen,Polo,brown,2006
AF146SB,Toyota,Corolla,beige,2007
AF159TE,Ford,Fiesta,purple,2008
AF172UH,Renault,Megane,red,2009
AF185VK,Peugeot,308,blue,2010
AF198WN,Opel,Astra,white,2011
AF211XR,BMW,Serie 3,black,2012
AF224YU,Mercedes,Classe B,grey,2013
AF237ZX,Audi,A3,silver,2014
AF250AA,Honda,Jazz,green,2015
AF263BD,Hyundai,i20,yellow,2016
AF276CG,Kia,Stonic,orange,2017
AF289DJ,Nissan,Juke,brown,2018
AF302EM,Seat,Arona,beige,2019
AF315FP,Skoda,Scala,purple,2020
AG328GT,Volvo,XC40,red,2021
AG341HW,Mazda,3,blue,2022
AG354IZ,Suzuki,Vitara,white,2023
AG367JC,Citroen,C4,black,2024
AG380KF,Dacia,Duster,grey,2005
AG393LI,Alfa Romeo,Giulia,silver,2006
AG406ML,Lancia,Ypsilon,green,2007
AG419NO,Jeep,Compass,yellow,2008
AG432OS,Mini,Countryman,orange,2009
AG445PV,Subaru,Forester,brown,2010
AG458RY,Mitsubishi,ASX,beige,2011
AG471SB,Tesla,Model Y,purple,2012
AG484TE,Fiat,Panda,red,2013
AG497UH,Volkswagen,Passat,blue,2014
AG510VK,Toyota,Auris,white,2015
AG523WN,Ford,Kuga,black,2016
AG536XR,Renault,Captur,grey,2017
AG549YU,Peugeot,2008,silver,2018
AG562ZX,Opel,Mokka,green,2019
AG575AA,BMW,Serie 5,yellow,2020
AG588BD,Mercedes,Classe C,orange,2021
AG601CG,Audi,A4,brown,2022
AG614DJ,Honda,HR-V,beige,2023
AG627EM,Hyundai,i30,purple,2024
AG640FP,Kia,Ceed,red,2005
AG653GT,Nissan,Qashqai,blue,2006
AH666HW,Seat,Leon,white,2007
AH679IZ,Skoda,Octavia,black,2008
AH692JC,Volvo,V60,grey,2009
AH705KF,Mazda,CX-3,silver,2010
AH718LI,Suzuki,Ignis,green,2011
AH731ML,Citroen,C5 Aircross,yellow,2012
